County,State,B19013001,B19013001s,B23006001,B23006002,B23006003,B23006004,B23006005,B23006006,B23006007,B23006008,B23006009,B23006010,B23006011,B23006012,B23006013,B23006014,B23006015,B23006016,B23006017,B23006018,B23006019,B23006020,B23006021,B23006022,B23006023,B23006024,B23006025,B23006026,B23006027,B23006028,B23006029,B23006001s,B23006002s,B23006003s,B23006004s,B23006005s,B23006006s,B23006007s,B23006008s,B23006009s,B23006010s,B23006011s,B23006012s,B23006013s,B23006014s,B23006015s,B23006016s,B23006017s,B23006018s,B23006019s,B23006020s,B23006021s,B23006022s,B23006023s,B23006024s,B23006025s,B23006026s,B23006027s,B23006028s,B23006029s
Autauga,al,53773,1144.242424,28452,3810,2024,0,2024,1643,381,1786,8940,6900,22,6878,6310,568,2040,8819,7234,259,6975,6676,299,1585,6883,5923,422,5501,5362,139,960,80,272.7272727,212.1212121,16.96969697,212.1212121,193.9393939,105.4545455,173.3333333,423.030303,398.7878788,12.12121212,398.1818182,358.7878788,107.8787879,190.9090909,363.030303,326.0606061,73.93939394,318.7878788,307.8787879,77.57575758,176.3636364,307.2727273,301.8181818,67.87878788,306.6666667,288.4848485,57.57575758,138.7878788
Baldwin,al,50706,830.9090909,96220,10358,6095,0,6095,5088,1007,4263,26494,19701,59,19642,18200,1442,6793,31859,24512,118,24394,22732,1662,7347,27509,22170,109,22061,20906,1155,5339,160.6060606,551.5151515,384.8484848,16.96969697,384.8484848,344.2424242,178.7878788,321.8181818,816.969697,723.030303,34.54545455,727.8787879,676.3636364,210.9090909,327.8787879,791.5151515,662.4242424,37.57575758,656.969697,619.3939394,220.6060606,387.2727273,739.3939394,669.6969697,47.27272727,666.6666667,666.0606061,136.969697,292.1212121
Barbour,al,31889,1340.606061,14966,3500,1198,0,1198,924,274,2302,5144,2966,0,2966,2595,371,2178,4247,2823,0,2823,2503,320,1424,2075,1590,4,1586,1577,9,485,60.60606061,187.8787879,133.9393939,13.33333333,133.9393939,101.8181818,74.54545455,160,200.6060606,187.2727273,13.33333333,187.2727273,180,81.81818182,175.1515152,206.6666667,178.7878788,13.33333333,178.7878788,170.3030303,64.84848485,127.2727273,146.0606061,146.6666667,4.242424242,146.0606061,146.0606061,7.272727273,61.21212121
Bibb,al,36824,2633.939394,12577,2557,1049,0,1049,974,75,1508,5281,3401,0,3401,3100,301,1880,3534,2477,0,2477,2211,266,1057,1205,973,0,973,898,75,232,121.8181818,293.3333333,189.6969697,13.33333333,189.6969697,180.6060606,48.48484848,244.2424242,273.3333333,252.1212121,13.33333333,252.1212121,252.1212121,84.84848485,170.3030303,218.1818182,201.2121212,13.33333333,201.2121212,176.969697,111.5151515,143.6363636,152.7272727,148.4848485,13.33333333,148.4848485,133.3333333,39.39393939,59.39393939
Blount,al,45192,1171.515152,30147,6389,3542,0,3542,2825,717,2847,10560,7466,0,7466,6739,727,3094,9210,6929,6,6923,6548,375,2281,3988,3497,0,3497,3274,223,491,101.2121212,307.2727273,218.1818182,16.96969697,218.1818182,210.9090909,124.2424242,249.6969697,339.3939394,338.1818182,16.96969697,338.1818182,320.6060606,133.9393939,203.6363636,384.2424242,304.8484848,5.454545455,306.0606061,309.6969697,83.63636364,209.6969697,250.9090909,246.0606061,16.96969697,246.0606061,243.6363636,62.42424242,85.45454545
Bullock,al,34500,3995.757576,6081,1689,947,0,947,638,309,742,2115,1432,0,1432,1328,104,683,1514,1213,0,1213,1158,55,301,763,519,0,519,508,11,244,132.1212121,182.4242424,184.8484848,11.51515152,184.8484848,130.3030303,93.33333333,156.3636364,253.3333333,195.7575758,11.51515152,195.7575758,181.2121212,49.09090909,135.7575758,183.6363636,187.2727273,11.51515152,187.2727273,184.8484848,33.33333333,72.12121212,140,107.8787879,11.51515152,107.8787879,107.8787879,15.15151515,73.33333333
Butler,al,30752,1431.515152,10608,1896,779,0,779,498,281,1117,4236,3102,0,3102,2736,366,1134,3004,2269,10,2259,2058,201,735,1472,1287,0,1287,1258,29,185,36.36363636,135.7575758,123.030303,13.33333333,123.030303,86.66666667,70.3030303,121.2121212,182.4242424,166.0606061,13.33333333,166.0606061,154.5454545,72.72727273,114.5454545,149.0909091,143.030303,14.54545455,144.8484848,143.6363636,43.03030303,85.45454545,151.5151515,145.4545455,13.33333333,145.4545455,141.2121212,18.18181818,46.06060606
Calhoun,al,40093,781.2121212,61153,10966,5783,0,5783,4796,987,5183,20480,13846,28,13818,12530,1288,6634,19643,14921,71,14850,13306,1544,4722,10064,8437,108,8329,7980,349,1627,106.0606061,523.030303,367.8787879,16.96969697,367.8787879,323.030303,161.2121212,356.3636364,516.969697,472.1212121,18.78787879,468.4848485,425.4545455,177.5757576,269.0909091,391.5151515,400.6060606,28.48484848,403.6363636,381.2121212,186.6666667,284.8484848,472.7272727,433.3333333,36.36363636,424.2424242,411.5151515,98.18181818,175.7575758
Chambers,al,32181,840.6060606,17865,3805,1766,0,1766,1442,324,2039,6275,4422,4,4418,3743,675,1853,5621,4507,0,4507,3819,688,1114,2164,1861,0,1861,1820,41,303,63.03030303,226.0606061,160.6060606,15.15151515,160.6060606,147.8787879,69.6969697,164.8484848,281.8181818,290.3030303,4.242424242,289.6969697,275.7575758,113.3333333,163.6363636,266.6666667,238.7878788,15.15151515,238.7878788,192.7272727,123.030303,123.6363636,180.6060606,162.4242424,15.15151515,162.4242424,158.7878788,19.39393939,67.87878788
Cherokee,al,36241,2613.333333,13811,2604,1353,0,1353,1095,258,1251,4486,3016,0,3016,2737,279,1470,4751,3358,21,3337,3060,277,1393,1970,1656,0,1656,1577,79,314,102.4242424,256.969697,186.6666667,13.33333333,186.6666667,171.5151515,76.96969697,160.6060606,268.4848485,252.7272727,13.33333333,252.7272727,235.7575758,78.18181818,167.8787879,253.9393939,230.3030303,21.81818182,231.5151515,231.5151515,58.78787879,156.969697,184.8484848,195.7575758,13.33333333,195.7575758,198.1818182,33.33333333,75.15151515
Chilton,al,40834,1182.424242,22962,4553,2783,0,2783,2350,433,1770,9438,6609,1,6608,5948,660,2829,5872,4596,0,4596,4070,526,1276,3099,2650,0,2650,2559,91,449,101.2121212,270.3030303,193.3333333,15.15151515,193.3333333,210.3030303,82.42424242,191.5151515,362.4242424,307.2727273,1.818181818,307.2727273,309.6969697,103.6363636,228.4848485,310.3030303,258.1818182,15.15151515,258.1818182,256.969697,115.1515152,157.5757576,246.6666667,215.1515152,15.15151515,215.1515152,213.3333333,45.45454545,98.18181818
Choctaw,al,35123,1834.545455,7050,1355,607,0,607,519,88,748,2853,1671,0,1671,1450,221,1182,1930,1364,0,1364,1281,83,566,912,708,0,708,686,22,204,58.78787879,127.8787879,100.6060606,11.51515152,100.6060606,94.54545455,32.72727273,93.93939394,175.7575758,149.0909091,11.51515152,149.0909091,144.2424242,53.33333333,120.6060606,136.3636364,117.5757576,11.51515152,117.5757576,117.5757576,27.27272727,100.6060606,112.7272727,90.90909091,11.51515152,90.90909091,87.27272727,15.15151515,55.75757576
Clarke,al,30954,2268.484848,13056,2357,875,0,875,625,250,1482,5519,3440,0,3440,2774,666,2079,3546,2807,0,2807,2623,184,739,1634,1301,0,1301,1251,50,333,88.48484848,214.5454545,132.7272727,13.33333333,132.7272727,113.3333333,94.54545455,155.7575758,264.8484848,216.3636364,13.33333333,216.3636364,175.7575758,136.3636364,227.8787879,229.0909091,203.6363636,13.33333333,203.6363636,198.7878788,59.39393939,103.6363636,143.6363636,118.1818182,13.33333333,118.1818182,110.3030303,31.51515152,64.24242424
Clay,al,34556,1789.090909,7205,1691,811,0,811,684,127,880,2755,1885,0,1885,1673,212,870,2098,1691,10,1681,1597,84,407,661,535,0,535,447,88,126,67.87878788,175.1515152,111.5151515,11.51515152,111.5151515,106.6666667,45.45454545,155.7575758,186.6666667,173.9393939,11.51515152,173.9393939,162.4242424,49.09090909,105.4545455,183.6363636,171.5151515,7.272727273,170.9090909,169.0909091,34.54545455,55.75757576,90.90909091,86.66666667,11.51515152,86.66666667,76.36363636,41.81818182,32.12121212
Cleburne,al,37244,1458.181818,7757,1607,709,0,709,531,178,898,2977,2219,0,2219,2004,215,758,2362,1857,15,1842,1699,143,505,811,701,0,701,693,8,110,52.12121212,195.7575758,120.6060606,11.51515152,120.6060606,88.48484848,65.45454545,153.9393939,218.1818182,204.2424242,11.51515152,204.2424242,197.5757576,66.66666667,106.0606061,170.3030303,170.9090909,14.54545455,167.2727273,158.1818182,48.48484848,77.57575758,127.2727273,119.3939394,11.51515152,119.3939394,118.7878788,7.878787879,32.12121212
Coffee,al,44626,1489.090909,26138,3888,1819,0,1819,1556,263,2069,7533,5046,147,4899,4628,271,2487,8307,6343,623,5720,5417,303,1964,6410,5442,685,4757,4529,228,968,98.78787879,244.2424242,144.8484848,16.96969697,144.8484848,129.0909091,66.06060606,184.8484848,272.1212121,252.7272727,57.57575758,246.6666667,245.4545455,46.66666667,170.9090909,255.7575758,236.969697,112.1212121,232.7272727,236.3636364,47.27272727,131.5151515,244.8484848,227.2727273,123.6363636,227.8787879,236.3636364,51.51515152,112.7272727
Colbert,al,40158,1053.333333,28449,3651,1884,0,1884,1565,319,1767,9767,6410,0,6410,5831,579,3357,9588,7294,12,7282,6872,410,2294,5443,4696,47,4649,4470,179,747,61.81818182,245.4545455,201.2121212,16.96969697,201.2121212,179.3939394,84.84848485,165.4545455,425.4545455,340,16.96969697,340,318.7878788,101.8181818,222.4242424,333.9393939,324.8484848,13.33333333,323.6363636,306.6666667,65.45454545,152.1212121,316.969697,270.3030303,30.3030303,270.3030303,264.2424242,48.48484848,121.2121212
Conecuh,al,27064,2423.030303,6522,1412,607,0,607,377,230,805,2646,1684,0,1684,1355,329,962,1809,1063,0,1063,903,160,746,655,605,0,605,558,47,50,74.54545455,149.0909091,111.5151515,11.51515152,111.5151515,89.6969697,69.6969697,115.1515152,166.6666667,155.1515152,11.51515152,155.1515152,133.9393939,76.36363636,127.8787879,182.4242424,158.7878788,11.51515152,158.7878788,155.1515152,53.93939394,127.2727273,103.6363636,100.6060606,11.51515152,100.6060606,96.36363636,27.87878788,22.42424242
Coosa,al,37425,2129.090909,6222,1420,762,0,762,594,168,658,2830,1990,0,1990,1686,304,840,1435,971,0,971,875,96,464,537,437,0,437,430,7,100,56.96969697,148.4848485,112.7272727,11.51515152,112.7272727,92.72727273,60,81.81818182,166.6666667,174.5454545,11.51515152,174.5454545,170.3030303,74.54545455,107.8787879,118.1818182,107.8787879,11.51515152,107.8787879,99.39393939,43.63636364,72.72727273,87.27272727,70.90909091,11.51515152,70.90909091,70.90909091,6.666666667,39.39393939
Covington,al,35321,1066.060606,19087,3666,1817,0,1817,1495,322,1849,6354,4604,0,4604,4117,487,1750,6217,4683,9,4674,4427,247,1534,2850,2282,28,2254,2118,136,568,67.27272727,279.3939394,193.3333333,15.15151515,193.3333333,171.5151515,91.51515152,190.3030303,297.5757576,258.1818182,15.15151515,258.1818182,252.7272727,76.36363636,146.0606061,332.1212121,301.2121212,10.3030303,301.8181818,289.6969697,54.54545455,134.5454545,188.4848485,174.5454545,23.63636364,172.7272727,167.8787879,57.57575758,88.48484848
Crenshaw,al,37309,2664.242424,7250,1390,839,0,839,778,61,551,2979,2019,0,2019,1869,150,960,2053,1681,12,1669,1600,69,372,828,696,4,692,688,4,132,42.42424242,115.7575758,103.6363636,11.51515152,103.6363636,103.030303,24.24242424,77.57575758,140.6060606,148.4848485,11.51515152,148.4848485,139.3939394,38.78787879,105.4545455,138.7878788,122.4242424,9.090909091,122.4242424,129.0909091,35.15151515,64.84848485,86.06060606,80,3.636363636,79.39393939,78.18181818,4.848484848,33.93939394
Cullman,al,39244,1047.272727,41983,7296,3917,0,3917,3369,548,3379,13103,9047,0,9047,8220,827,4056,15370,11687,43,11644,10823,821,3683,6214,5081,0,5081,5003,78,1133,75.75757576,420.6060606,318.7878788,16.96969697,318.7878788,283.030303,98.78787879,278.1818182,524.2424242,401.2121212,16.96969697,401.2121212,407.8787879,124.2424242,292.1212121,513.9393939,456.3636364,24.84848485,456.969697,430.9090909,134.5454545,227.8787879,367.2727273,343.6363636,16.96969697,343.6363636,336.969697,31.51515152,134.5454545
Dale,al,45247,1201.212121,26169,3336,1651,2,1649,1437,212,1685,7657,5385,163,5222,4798,424,2272,10346,8189,979,7210,6685,525,2157,4830,4028,571,3457,3332,125,802,72.72727273,192.7272727,114.5454545,7.878787879,113.9393939,126.6666667,50.3030303,163.030303,252.1212121,235.7575758,40.60606061,238.1818182,226.6666667,64.84848485,166.6666667,326.0606061,286.6666667,110.9090909,270.9090909,264.8484848,72.72727273,170.9090909,253.3333333,232.7272727,84.24242424,220,227.2727273,54.54545455,87.87878788
Dallas,al,26178,1165.454545,21767,4746,2104,0,2104,1648,456,2642,7838,4782,0,4782,4095,687,3056,6405,4936,0,4936,4219,717,1469,2778,2411,10,2401,2225,176,367,24.84848485,310.9090909,236.3636364,15.15151515,236.3636364,206.6666667,88.48484848,209.0909091,287.8787879,240,15.15151515,240,239.3939394,108.4848485,193.9393939,252.7272727,247.2727273,15.15151515,247.2727273,236.969697,126.6666667,160.6060606,246.6666667,235.7575758,10.3030303,234.5454545,226.0606061,86.06060606,72.72727273
DeKalb,al,36853,878.1818182,36877,9658,5681,15,5666,4605,1061,3977,13347,9218,0,9218,8529,689,4129,10076,7884,0,7884,7518,366,2192,3796,3074,0,3074,2920,154,722,104.8484848,428.4848485,346.6666667,14.54545455,347.8787879,330.3030303,176.969697,312.7272727,441.2121212,360.6060606,16.96969697,360.6060606,347.8787879,136.969697,318.1818182,401.8181818,382.4242424,16.96969697,382.4242424,360.6060606,80,159.3939394,243.6363636,210.3030303,16.96969697,210.3030303,206.0606061,50.3030303,101.2121212
Elmore,al,55514,1316.363636,43560,5340,2461,0,2461,2237,224,2879,14523,9985,31,9954,9177,777,4538,14101,10861,181,10680,10029,651,3240,9596,8121,239,7882,7651,231,1475,73.93939394,367.8787879,235.7575758,16.96969697,235.7575758,224.2424242,52.72727273,271.5151515,455.7575758,389.6969697,18.78787879,387.8787879,390.3030303,112.1212121,296.3636364,459.3939394,466.0606061,84.84848485,461.2121212,438.1818182,96.36363636,229.0909091,415.7575758,378.1818182,59.39393939,377.5757576,370.3030303,73.93939394,149.6969697
Escambia,al,31075,824.8484848,20462,4655,1867,35,1832,1439,393,2788,6843,4009,88,3921,3443,478,2834,6307,4390,17,4373,4029,344,1917,2657,2105,16,2089,2022,67,552,38.18181818,224.8484848,220.6060606,46.06060606,206.0606061,192.7272727,111.5151515,178.7878788,261.2121212,232.7272727,113.3333333,224.2424242,208.4848485,98.78787879,211.5151515,256.969697,258.7878788,22.42424242,256.3636364,236.3636364,81.81818182,161.2121212,226.6666667,202.4242424,15.75757576,201.8181818,200,30.3030303,84.24242424
Etowah,al,37660,746.6666667,54812,8470,4251,0,4251,3414,837,4219,17146,11019,0,11019,9867,1152,6127,20290,14155,78,14077,13019,1058,6135,8906,7405,63,7342,6969,373,1501,91.51515152,389.0909091,295.1515152,16.96969697,295.1515152,260,138.7878788,284.2424242,491.5151515,417.5757576,16.96969697,417.5757576,413.3333333,132.7272727,332.7272727,496.3636364,423.6363636,63.63636364,420,420,136.969697,307.2727273,413.3333333,376.3636364,30.3030303,376.969697,371.5151515,78.78787879,133.3333333
Fayette,al,33090,2282.424242,8911,1703,595,0,595,539,56,1108,3557,2346,2,2344,2225,119,1211,2468,1850,0,1850,1725,125,618,1183,934,0,934,841,93,249,59.39393939,166.0606061,96.36363636,11.51515152,96.36363636,95.15151515,21.21212121,139.3939394,205.4545455,178.1818182,2.424242424,177.5757576,166.0606061,43.63636364,128.4848485,160.6060606,147.8787879,11.51515152,147.8787879,150.3030303,40.60606061,84.84848485,161.8181818,165.4545455,11.51515152,165.4545455,155.1515152,40.60606061,58.78787879
Franklin,al,37235,1526.666667,16321,3816,2280,0,2280,2039,241,1536,5654,3942,0,3942,3622,320,1712,4828,3829,0,3829,3592,237,999,2023,1762,0,1762,1661,101,261,110.9090909,215.1515152,192.7272727,15.15151515,192.7272727,194.5454545,56.36363636,137.5757576,254.5454545,238.7878788,15.15151515,238.7878788,241.2121212,55.15151515,164.2424242,232.1212121,256.969697,15.15151515,256.969697,250.9090909,63.03030303,123.030303,195.7575758,171.5151515,15.15151515,171.5151515,172.7272727,37.57575758,68.48484848
Geneva,al,33618,1901.212121,14027,2833,1564,0,1564,1386,178,1269,5243,3593,0,3593,3317,276,1650,4197,3357,46,3311,3035,276,840,1754,1399,0,1399,1340,59,355,67.27272727,233.3333333,163.6363636,13.33333333,163.6363636,163.030303,49.6969697,155.1515152,189.6969697,192.7272727,13.33333333,192.7272727,180.6060606,57.57575758,149.0909091,263.6363636,250.9090909,35.15151515,250.9090909,235.7575758,78.18181818,98.18181818,189.0909091,161.8181818,13.33333333,161.8181818,149.6969697,32.12121212,79.39393939
Greene,al,23777,3015.757576,4506,860,358,0,358,213,145,502,1990,1279,0,1279,1166,113,711,1252,839,0,839,667,172,413,404,334,0,334,331,3,70,67.27272727,148.4848485,79.39393939,10.3030303,79.39393939,66.66666667,69.09090909,102.4242424,129.0909091,140.6060606,10.3030303,140.6060606,131.5151515,43.03030303,106.6666667,152.7272727,118.1818182,10.3030303,118.1818182,121.8181818,53.33333333,93.33333333,91.51515152,80,10.3030303,80,80,3.03030303,30.3030303
Hale,al,29409,1593.333333,8063,1724,817,0,817,624,193,907,3175,2001,0,2001,1717,284,1174,2159,1580,0,1580,1481,99,579,1005,823,0,823,746,77,182,0,147.2727273,106.6666667,11.51515152,106.6666667,108.4848485,53.93939394,115.1515152,166.0606061,143.6363636,11.51515152,143.6363636,137.5757576,73.33333333,123.030303,160,136.3636364,11.51515152,136.3636364,132.1212121,40,86.66666667,107.2727273,100.6060606,11.51515152,100.6060606,95.15151515,40,56.36363636
Henry,al,40680,1561.212121,8955,1596,737,0,737,636,101,859,3075,2056,0,2056,1688,368,1019,2719,2104,0,2104,1891,213,615,1565,1380,0,1380,1346,34,185,76.96969697,140.6060606,103.6363636,11.51515152,103.6363636,99.39393939,41.21212121,101.2121212,215.1515152,212.1212121,11.51515152,212.1212121,178.7878788,86.06060606,109.0909091,223.030303,195.7575758,11.51515152,195.7575758,172.7272727,58.78787879,98.78787879,171.5151515,161.2121212,11.51515152,161.2121212,161.2121212,20,50.3030303
Houston,al,41828,475.1515152,53473,7395,3900,0,3900,3310,590,3495,17928,12799,46,12753,11848,905,5129,16894,13229,121,13108,12409,699,3665,11256,9635,145,9490,9200,290,1621,33.93939394,228.4848485,184.2424242,16.96969697,184.2424242,170.3030303,71.51515152,148.4848485,338.1818182,276.3636364,20,278.1818182,281.2121212,75.75757576,198.7878788,289.6969697,278.1818182,28.48484848,280,269.6969697,47.87878788,151.5151515,215.1515152,211.5151515,44.84848485,204.2424242,193.3333333,41.81818182,92.12121212
Jackson,al,37059,950.3030303,28412,6092,3281,0,3281,2928,353,2811,10619,7570,0,7570,6985,585,3049,7658,5882,0,5882,5609,273,1776,4043,3054,0,3054,2927,127,989,86.06060606,366.6666667,261.2121212,16.96969697,261.2121212,245.4545455,77.57575758,183.030303,310.9090909,286.0606061,16.96969697,286.0606061,286.0606061,107.2727273,213.3333333,323.6363636,284.8484848,16.96969697,284.8484848,287.2727273,73.33333333,173.3333333,240.6060606,224.8484848,16.96969697,224.8484848,214.5454545,41.21212121,160.6060606
Jefferson,al,45415,487.8787879,352574,36378,20231,0,20231,16005,4226,16147,89778,63547,61,63486,56180,7306,26231,115302,90439,328,90111,82590,7521,24863,111116,94550,302,94248,91008,3240,16566,62.42424242,869.6969697,727.2727273,16.96969697,727.2727273,633.3333333,327.2727273,515.1515152,1125.454545,1018.787879,23.63636364,1021.818182,1033.333333,317.5757576,743.030303,1266.060606,1316.969697,94.54545455,1309.090909,1227.878788,405.4545455,686.0606061,1185.454545,1123.030303,68.48484848,1122.424242,1123.030303,276.3636364,528.4848485
Lamar,al,35271,1941.818182,7504,1413,722,0,722,658,64,691,2892,2059,0,2059,1857,202,833,2302,1703,0,1703,1528,175,599,897,760,0,760,760,0,137,52.72727273,160,106.0606061,11.51515152,106.0606061,99.39393939,33.93939394,132.1212121,186.6666667,174.5454545,11.51515152,174.5454545,166.6666667,49.09090909,102.4242424,152.1212121,153.3333333,11.51515152,153.3333333,141.2121212,60,90.90909091,120.6060606,118.7878788,11.51515152,118.7878788,118.7878788,11.51515152,37.57575758
Lauderdale,al,40701,809.0909091,47069,6560,3430,0,3430,2790,640,3130,15704,10825,4,10821,9997,824,4879,13994,10620,5,10615,9814,801,3374,10811,8752,14,8738,8353,385,2059,120,363.6363636,256.969697,16.96969697,256.969697,238.7878788,125.4545455,238.7878788,457.5757576,413.9393939,4.242424242,413.9393939,403.030303,115.1515152,289.0909091,394.5454545,386.6666667,4.848484848,385.4545455,376.3636364,128.4848485,230.9090909,381.2121212,348.4848485,14.54545455,349.0909091,344.8484848,86.06060606,202.4242424
Lawrence,al,39526,1505.454545,18348,3297,1712,0,1712,1363,349,1585,7060,4542,0,4542,4099,443,2518,5290,4010,12,3998,3768,230,1280,2701,2321,44,2277,2151,126,380,71.51515152,277.5757576,185.4545455,15.15151515,185.4545455,164.8484848,84.84848485,190.3030303,253.3333333,232.1212121,15.15151515,232.1212121,218.1818182,90.3030303,160.6060606,319.3939394,273.9393939,8.484848485,273.3333333,265.4545455,63.03030303,127.8787879,224.8484848,211.5151515,37.57575758,209.0909091,195.7575758,60.60606061,78.78787879
Lee,al,43189,940,67500,7825,4500,0,4500,3745,755,3325,18523,14255,200,14055,12693,1362,4268,19135,15019,559,14460,13324,1136,4116,22017,18550,193,18357,17665,692,3467,70.90909091,451.5151515,341.8181818,16.96969697,341.8181818,318.1818182,136.969697,316.3636364,553.3333333,502.4242424,59.39393939,507.2727273,498.7878788,176.969697,262.4242424,558.1818182,489.0909091,103.6363636,465.4545455,455.1515152,138.1818182,281.8181818,450.9090909,474.5454545,69.6969697,478.7878788,469.6969697,98.18181818,210.3030303
Limestone,al,48197,853.9393939,46512,7764,3888,0,3888,3311,577,3876,14085,9448,65,9383,8630,753,4637,13900,9884,28,9856,9026,830,4016,10763,8990,108,8882,8651,231,1773,61.81818182,554.5454545,268.4848485,16.96969697,268.4848485,261.2121212,113.9393939,489.6969697,535.7575758,470.3030303,62.42424242,481.8181818,448.4848485,106.0606061,329.6969697,399.3939394,418.1818182,19.39393939,416.3636364,393.3333333,126.6666667,310.9090909,422.4242424,372.1212121,46.66666667,372.1212121,363.030303,63.63636364,188.4848485
Lowndes,al,28023,1805.454545,5764,959,439,0,439,246,193,520,2456,1501,0,1501,1304,197,955,1545,1123,0,1123,1028,95,422,804,651,17,634,594,40,153,18.18181818,111.5151515,80,11.51515152,80,50.3030303,54.54545455,77.57575758,145.4545455,118.7878788,11.51515152,118.7878788,110.9090909,43.03030303,105.4545455,135.7575758,111.5151515,11.51515152,111.5151515,105.4545455,32.12121212,64.84848485,101.2121212,90.3030303,12.72727273,89.09090909,83.03030303,24.24242424,40
Macon,al,27957,1811.515152,9880,1649,834,0,834,686,148,815,3088,1950,7,1943,1722,221,1138,3336,2375,0,2375,2201,174,961,1807,1564,0,1564,1455,109,243,23.63636364,135.1515152,112.1212121,13.33333333,112.1212121,107.2727273,41.21212121,102.4242424,164.2424242,123.030303,7.272727273,123.030303,130.3030303,54.54545455,124.8484848,159.3939394,156.3636364,13.33333333,156.3636364,155.7575758,41.81818182,109.6969697,138.7878788,132.7272727,13.33333333,132.7272727,125.4545455,36.36363636,53.93939394
Madison,al,58242,633.3333333,180077,16803,10676,0,10676,8909,1767,6127,36791,27760,113,27647,25187,2460,9031,55513,43602,474,43128,39986,3142,11911,70970,60742,649,60093,57925,2168,10228,15.15151515,586.0606061,488.4848485,16.96969697,488.4848485,425.4545455,218.7878788,310.3030303,693.9393939,670.9090909,49.6969697,665.4545455,645.4545455,226.0606061,370.3030303,824.2424242,794.5454545,99.39393939,778.7878788,769.0909091,296.969697,433.3333333,880.6060606,833.3333333,117.5757576,826.0606061,809.0909091,192.7272727,376.969697
Marengo,al,34515,1456.969697,10503,1334,524,0,524,433,91,810,3806,2616,11,2605,2392,213,1190,3295,2288,5,2283,2165,118,1007,2068,1740,0,1740,1638,102,328,46.66666667,155.7575758,89.09090909,13.33333333,89.09090909,80,38.78787879,113.3333333,221.2121212,182.4242424,10.90909091,180.6060606,165.4545455,58.18181818,142.4242424,170.9090909,142.4242424,6.060606061,143.6363636,143.030303,44.24242424,114.5454545,125.4545455,123.6363636,13.33333333,123.6363636,118.1818182,43.03030303,61.81818182
Marion,al,31970,830.3030303,15945,3678,1762,0,1762,1460,302,1916,5688,3896,0,3896,3503,393,1792,5071,3864,18,3846,3505,341,1207,1508,1252,0,1252,1222,30,256,56.36363636,203.6363636,170.9090909,15.15151515,170.9090909,161.2121212,73.93939394,164.2424242,291.5151515,225.4545455,15.15151515,225.4545455,204.2424242,83.03030303,143.6363636,170.3030303,181.8181818,18.78787879,181.8181818,176.969697,81.81818182,133.9393939,158.1818182,148.4848485,15.15151515,148.4848485,149.0909091,15.75757576,63.03030303
Marshall,al,38649,1194.545455,47719,10904,6318,0,6318,5733,585,4586,14772,9999,0,9999,9095,904,4773,14380,10940,4,10936,10282,654,3440,7663,6493,33,6460,6301,159,1170,84.84848485,420,276.969697,16.96969697,276.969697,267.8787879,120.6060606,298.1818182,384.8484848,338.1818182,16.96969697,338.1818182,353.9393939,124.8484848,294.5454545,436.969697,401.2121212,4.848484848,401.2121212,380.6060606,112.1212121,217.5757576,376.969697,348.4848485,29.09090909,346.6666667,343.030303,46.66666667,141.2121212
Mobile,al,42973,463.6363636,214016,30155,16515,0,16515,12975,3540,13640,69342,48509,105,48404,43420,4984,20833,68831,53902,629,53273,48711,4562,14929,45688,38384,252,38132,36576,1556,7304,72.72727273,734.5454545,552.1212121,16.96969697,552.1212121,453.9393939,313.3333333,413.9393939,950.3030303,763.030303,38.18181818,761.8181818,766.6666667,281.2121212,616.3636364,927.2727273,879.3939394,138.1818182,867.2727273,876.3636364,256.969697,440,803.6363636,707.8787879,66.06060606,708.4848485,691.5151515,161.2121212,342.4242424
Monroe,al,30996,1061.212121,11740,2328,786,0,786,682,104,1542,4922,3383,10,3373,3055,318,1539,3346,2540,0,2540,2284,256,806,1144,901,0,901,854,47,243,62.42424242,224.2424242,112.1212121,13.33333333,112.1212121,106.0606061,38.78787879,193.9393939,231.5151515,204.2424242,10.90909091,206.0606061,197.5757576,70.3030303,168.4848485,230.3030303,198.7878788,13.33333333,198.7878788,199.3939394,67.87878788,115.7575758,131.5151515,115.1515152,13.33333333,115.1515152,110.9090909,21.81818182,65.45454545
Montgomery,al,44401,557.5757576,118788,15388,7901,15,7886,6452,1434,7487,30528,21821,48,21773,19757,2016,8707,34850,27165,419,26746,24697,2049,7685,38022,32559,1080,31479,30655,824,5463,127.8787879,509.6969697,412.1212121,18.78787879,411.5151515,370.3030303,169.0909091,378.7878788,905.4545455,720,22.42424242,718.7878788,679.3939394,190.9090909,493.9393939,765.4545455,636.3636364,86.06060606,630.3030303,617.5757576,185.4545455,349.0909091,951.5151515,853.3333333,146.0606061,846.6666667,823.030303,120,346.6666667
Morgan,al,45852,1072.727273,63925,10450,6349,0,6349,5362,987,4101,19666,13721,23,13698,12416,1282,5945,20590,16642,0,16642,15230,1412,3948,13219,11250,106,11144,10577,567,1969,78.18181818,431.5151515,342.4242424,16.96969697,342.4242424,305.4545455,153.3333333,270.9090909,570.3030303,481.2121212,15.75757576,481.2121212,447.2727273,167.2727273,312.1212121,528.4848485,471.5151515,16.96969697,471.5151515,464.2424242,173.9393939,315.7575758,420.6060606,406.6666667,65.45454545,422.4242424,404.2424242,141.8181818,169.0909091
