x,y
79.00774368,165.4370449
79.83754418,177.2934653
82.5756992,173.5220109
82.76010166,181.7743911
83.75740827,180.771435
85.46190153,181.3843234
86.54680624,182.7744518
86.56889451,178.9575644
86.87133906,192.3864007
87.27880778,179.7222004
87.38070688,187.5932083
87.61494035,182.9767752
88.68561738,181.8818291
89.55770419,182.8423674
89.69596331,200.1753212
89.72619402,191.1533936
90.02620283,192.7375192
90.65337159,196.0987592
90.95331332,199.0155257
91.1603039,191.4893026
91.3780167,196.6972485
91.4322429,189.7332025
91.55581393,203.1588958
91.93018365,201.266635
91.93270642,194.6891572
92.11480034,197.9413677
92.16683343,190.5113268
92.50369905,202.3146544
92.53580985,188.3011378
93.30414013,190.5190029
93.4589024,204.1104018
93.46326939,210.3715623
93.47816152,203.9068594
93.61928969,202.7482003
94.16896152,196.9793967
95.57240485,209.5523289
95.69359025,204.6998664
95.78626428,202.107207
96.49165577,212.2360022
96.8572802,205.6337921
97.32287096,212.654475
97.3368244,206.9164115
97.37545362,205.582799
97.49480873,201.9895509
98.30576819,208.8060128
99.23228846,197.5534377
100.2522857,216.272531
100.5685864,215.3633342
100.8555044,214.4168799
101.0659804,212.8537255
101.3885842,214.8461208
102.6059784,218.6627388
102.6799328,210.4474704
103.2387805,224.3166985
103.3096318,221.9410342
103.5987956,215.9651421
103.9218463,217.7576192
103.9846728,223.2995415
104.0972398,209.9346945
104.5598009,213.3264232
104.6420257,221.2994054
104.7185947,216.6114667
105.0364199,223.8715275
105.1513317,204.2957585
105.3757952,213.5349805
105.4414448,221.7083494
105.4990924,228.7226432
105.641686,224.0889611
106.3880561,221.4682224
106.5710598,225.4025762
106.6752269,223.2071021
106.8980417,218.5528886
107.005678,211.8500576
107.2219178,230.2888987
107.4624317,219.5355271
107.6534067,226.3122961
107.8641026,220.2278814
108.2116121,228.7698446
108.3985225,232.5175503
108.7106771,225.170223
109.3992008,226.2118399
109.7589064,240.1347533
109.9043309,240.823503
110.3206833,236.5946473
110.7445941,228.0493747
110.87563,238.4899488
110.8866186,238.0269378
111.4713685,231.086065
111.7660893,238.478125
112.004947,250.9290384
112.125791,242.0313493
112.3095366,250.4422561
112.4119983,238.2257926
112.7729369,244.5303848
113.5893982,248.8781383
117.1063159,250.8184759
120.0868712,265.948472
120.480403,257.1295582
120.7709479,264.0210164
121.1007351,264.9412633
