Course,Section,Cr,Days,Times,Title,DistReq,Diversity,Room,Reg,Max,Exam,Faculty
AA118,A,2,TR, 2:30pm- 4:00pm,Dance Technique Lab: Dance Forms of the African Diaspora: Hip-hop (See TD118),, , ,0, , ,Akuchu     
AA223,A,4,TR, 8:00am- 9:30am,Critical Race Feminisms and Tap Dance (See WG223),A,U , ,0, , ,"Thomas, S  "
AA223,A,4,TR, 9:45am-10:45am,Critical Race Feminisms and Tap Dance (See WG223),A,U , ,0, , ,"Thomas, S  "
AA231,A,4,MW,11:00am-12:15pm,Caribbean Cultures (See AY231),,I , ,0, , ,Bhimull    
AA276,A,4,TR, 9:30am-10:45am,African-American Culture in the United States (See AM276),S,U , ,0, , ,Gilkes     
AA298,A,4,TR, 1:00pm- 2:15pm,"Introduction to African History, 1800-1994 (See HI298)",H,I , ,0, , ,Duff       
AA341,A,4,W, 1:00pm- 3:30pm,"Culture, Mobility, Identity: Encounters in the African Diaspora (See AY341)",S,I , ,0, , ,Bhimull    
AA357,A,4,T, 7:00pm- 9:30pm,"Civil Rights, Black Power, and Social Change (See SO357)",S,U , ,0, , ,Gilkes     
AA361,A,4,MW, 2:30pm- 3:45pm,"Creolization, Culture, and Society in the Indian Ocean Islands (See FR361)",,I , ,0, , ,Mauguiere  
AA370,A,4,TR, 2:30pm- 3:45pm,"<I>Corps, Espace, et Genre</I>: Postcolonial Space in Francophone Africa (See FR370)",,I , ,0, , ,Niang      
AA398,A,4,W, 1:00pm- 3:30pm,South African Women's Memoir (See HI398B),H,I , ,0, , ,Duff       
AM171,A,4,TR, 1:00pm- 2:15pm,Introduction to American Studies,,U ,LOVE 208,24,24,7,Saltz      
AM217,A,4,MW, 7:00pm- 8:15pm,Religion in the Americas (See RE217),H, , ,0, , ,Harper     
AM221,A,4,TR, 9:30am-10:45am,Mapping Waterville,H, ,DIAM 123,20,20, ,Lisle      
AM232,A,4,MW,11:00am-12:15pm,Queer Identities and Politics (See WG232),,U , ,0, , ,Arellano   
AM234,A,4,TR, 1:00pm- 2:15pm,From Rockabilly Kings to Lady Gaga: A History of Rock 'n' Roll (See MU234),A, , ,0, , ,Zelensky   
AM259,A,4,WF, 2:30pm- 3:45pm,American Art since 1900 (See AR159),A, , ,0, , ,Sperling   
AM276,A,4,TR, 9:30am-10:45am,African-American Culture in the United States,S,U ,LOVE 100,59,60,8,Gilkes     
AM357,A,4,T, 7:00pm- 9:30pm,"Civil Rights, Black Power, and Social Change (See SO357)",S,U , ,0, , ,Gilkes     
AM366,A,4,TR,11:00am-12:15pm,"Race, Gender, and the Graphic Novel",L,U ,MILL 257,16,15,6,Fugikawa   
AM457,A,4,MWF,12:00n -12:50pm,American Gothic Literature (See EN457),L,U , ,0, , ,Bryant     
AM493C,A,4,T, 1:00pm- 3:30pm,"Seminar: Space, Culture, and Neoliberalism",, ,MILL 253,12,15,0,Lisle      
AM493C,B,4,R, 1:00pm- 3:30pm,"Seminar: Space, Culture, and Neoliberalism",, ,MILL 253,8,15,0,Lisle      
AN154,A,3 to 4,TR, 9:30am-10:45am,Roman History,H, ,LOVE 213,29,30,8,Welser     
AN398,A,4,TR, 1:00pm- 2:15pm,Athenian Democracy as Reality and Idea (See CL398),H, , ,0, , ,Welser     
AR101W,A,4,TR,11:00am-12:15pm,Reading Images,W1, ,BIXL 154,16,16, ,Plesch     
AR112,A,4,MW,11:00am-12:15pm,Introduction to Western Art: Renaissance to Today,A, ,BIXL 154,25,25,0,Harkett    
AR126,A,4,TR, 9:30am-10:45am,"Art and Architecture of the Islamic World, 1258-1914",A, ,BIXL 154,25,25,8,Ameri      
AR135,A,4,MW, 2:00pm- 3:50pm,Visual Thinking,A, ,BIXL 283,17,16,0,Mitchell   
AR159,A,4,WF, 2:30pm- 3:45pm,American Art since 1900,A, ,BIXL 154,25,25,3,Sperling   
AR222,A,4,MW,11:00am-12:50pm,Drawing II,, ,BIXL 283,6,16,0,Mitchell   
AR229,A,4,MW,11:00am-12:50pm,Print and Digital Media II,, ,BIXL 302,8,15,0,Lilleston  
AR242,A,4,TR, 2:00pm- 3:50pm,Painting II,, ,BIXL 250,14,16,0,"Engman, B  "
AR244,A,4,WF, 1:00pm- 2:15pm,Moving Images: Magic Lanterns to Virtual Reality,A, ,BIXL 154,19,25,0,Sperling   
AR257,A,4,TR, 2:30pm- 3:45pm,Renaissance Art,A, ,BIXL 154,18,25,9,Plesch     
AR265,A,4,MW, 2:00pm- 3:50pm,Sculpture I: Architecture and Site,, ,BIXL 117,15,16,0,Borthwick  
AR268,A,4,MWF, 9:00am- 9:50am,Design Thinking Studio: Performative Sculpture,A, ,RUNN THTR,3,16,0,Borthwick   Thurston   
AR268,A,4,F,10:00am-12:00n ,Design Thinking Studio: Performative Sculpture,A, ,RUNN THTR,3,16,0,Borthwick   Thurston   
AR276,A,4,MWF, 9:00am- 9:50am,Zen and the Arts in Asia,A, ,BIXL 154,24,25,10,Weitz      
AR282,A,4,TR,11:00am-12:50pm,Photography II,, ,BIXL 278,11,12,0,Green      
AR323,A,4,TR, 1:00pm- 2:15pm,Destroying Culture: Iconoclasm from Antiquity to Today,,I ,MILL 205,9,16,0,Ameri      
AR329,A,4,MW, 2:00pm- 3:50pm,Print and Digital Media IV,, ,BIXL 302,6,15,0,Lilleston  
AR341,A,4,TR,11:00am-12:50pm,Painting III,, ,BIXL 250,1,16,0,"Engman, B  "
AR342,A,4,TR,11:00am-12:50pm,Painting IV,, ,BIXL 250,6,16,0,"Engman, B  "
AR356,A,4,MW, 1:00pm- 2:15pm,Writing Art Criticism,W2, ,BIXL 142,8,12,0,Harkett    
AR365,A,4,MW,11:00am-12:50pm,Sculpture III: The Nobility of Stone,, ,BIXL 117,10,12,0,Borthwick  
AR366,A,4,MW,11:00am-12:50pm,"Sculpture IV: Measure, Material, and Process",, ,BIXL 117,4,12,0,Borthwick  
AR382,A,4,TR, 2:00pm- 3:50pm,Photography IV,, ,BIXL 278,7,12,0,Green      
AR398,A,4,W, 1:00pm- 3:30pm,Japanese Visual Culture,, ,BIXL 102,11,10,0,Weitz      
AR402,A,2,M, 7:00pm- 9:30pm,Studio Art Capstone,, ,BIXL 270,12,15,0,Mitchell   
AR411,A,4,F, 1:00pm- 3:30pm,Theories and Methods of Art History,, ,BIXL 102,5,12,0,Plesch     
AR425,A,4,T, 1:00pm- 3:30pm,Intimate Things,, ,BIXL 102,4,12,0,Harkett    
AR441,A,4,TR,11:00am-12:50pm,Painting V,, ,BIXL 250,0,16,0,"Engman, B  "
AR442,A,4,TR,11:00am-12:50pm,Painting VI,, ,BIXL 250,2,16,0,"Engman, B  "
AR443,A,4,TR,11:00am-12:50pm,Painting VII,, ,BIXL 250,0,16,0,"Engman, B  "
AR481,A,4,TR, 2:00pm- 3:50pm,Photography V,, ,BIXL 278,3,12,0,Green      
AR482,A,4,TR, 2:00pm- 3:50pm,Photography VI,, ,BIXL 278,0,12,0,Green      
AR485,A,4,TR, 2:00pm- 3:50pm,Photography VII,, ,BIXL 278,1,12,0,Green      
AS151,A,3 to 4,MWF, 1:00pm- 1:50pm,"Stars, Stellar Systems, and Cosmology","N,OptLb", ,KEYE 105,36,35,4,McGrath    
AS151 L,A,,T, 1:00pm- 3:50pm,Stars and Stellar Systems Laboratory,, ,KEYE 114,16,16, ,Goulet     
AS172,A,3,MWF,11:00am-11:50am,Extraterrestrial Life,N, ,MILL 014,36,35,5,Kocevski   
AS172,B,3,MWF, 1:00pm- 1:50pm,Extraterrestrial Life,N, ,MILL 014,36,35,5,Kocevski   
AS342,A,4,TR, 2:30pm- 3:45pm,Galaxies and Cosmology,, ,KEYE 105,15,18,9,Kocevski   
AY112,A,4,MWF, 9:00am- 9:50am,Cultural Anthropology,S,I ,DIAM 145,30,30,10,Strohl     
AY112,B,4,MWF,10:00am-10:50am,Cultural Anthropology,S,I ,DIAM 145,30,30,11,"Tate, W    "
AY112,C,4,MWF,11:00am-11:50am,Cultural Anthropology,S,I ,DIAM 145,30,30,1,MillsMaryB 
AY211,A,4,T, 1:00pm- 3:30pm,Human Rights and Social Justice in Global Perspective (See GS211),W2, , ,0, , ,Razsa      
AY231,A,4,MW,11:00am-12:15pm,Caribbean Cultures,,I ,DIAM 323,17,20,1,Bhimull    
AY262,A,4,TR, 9:30am-10:45am,"Music in Life, Music as Culture: Introduction to Ethnomusicology (See MU262)",A,I , ,0, , ,Zelensky   
AY276,A,4,TR, 9:30am-10:45am,African-American Culture in the United States (See AM276),S,U , ,0, , ,Gilkes     
AY277,A,4,TR, 1:00pm- 2:15pm,Culture of Cuteness: Japanese Women (in English) (See EA277),S,I , ,0, , ,Abe        
AY298,A,4,TR,11:00am-12:15pm,Cultural Accounting of Business and Work,, ,DIAM 323,15,18,6,Menair     
